model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
HAR-YZ,sz.159949,close_gt_ma20,bear_close_le_ma200,673,-0.07710169566678,0.1720969269788418,-0.5642267841233333,-0.3647468547432447,-0.2560561044452009,0.1789544087784208,0.2001723587349178,0.8940015989690399,0.0340608957482383,0.4274322759643717,0.4442204493923128,0.4357885766665493
HAR-YZ,sz.159915,ret20_gt_0,bear_close_le_ma200,903,-0.0821615942750823,0.172616463463797,-0.5918415441091964,-0.4128235824871188,-0.2732436407202275,0.1910820464451452,0.1935411044768181,0.9872943887639776,0.0445362593856854,0.4447864839610578,0.460669399501866,0.4117602432024556
HAR-YZ,sh.510500,ret20_gt_0,bear_close_le_ma200,888,-0.0961787045995983,0.1842316374406123,-0.6306121261992741,-0.452402229411296,-0.2360580077894501,0.1398793031898518,0.1380933405591368,1.012933010552744,0.0624519856674289,0.6360074559703122,0.6515665759289799,0.4504199060809529
HAR-YZ,sh.510500,ma5_gt_ma20,bear_close_le_ma200,888,-0.1229264471000595,0.1997683945416857,-0.7154607585847869,-0.4971505450702292,-0.2360580077894501,0.1131315606893906,0.1150611769384658,0.9832296496488376,0.0634390733239046,0.7438951314243578,0.7581107973455277,0.760002451137786
HAR-YZ,sh.510050,ret20_gt_0,bear_close_le_ma200,1052,-0.1440097809689797,0.1395291196088087,-1.1754519875765457,-0.4720728694275624,-0.2217971209458528,0.077787339976873,0.1246403527454726,0.6240943503724039,-0.025180438787681,0.5553167443656771,0.5631272977671931,0.5069583106092941
HAR-YZ,sh.510050,close_gt_ma20,bear_close_le_ma200,1052,-0.1672058027288612,0.1453861719986382,-1.287645173920768,-0.5302436044590573,-0.2217971209458528,0.0545913182169915,0.1181206834446344,0.462165614226061,-0.0402513912083677,0.6010463094136631,0.6076093058009937,0.5349638716656915
HAR-YZ,sh.510300,ret20_gt_0,bear_close_le_ma200,974,-0.1836816722667816,0.1461273362470452,-1.3938642659059637,-0.5436162685526273,-0.2362439537549139,0.0525622814881322,0.1204635208452178,0.4363335980829325,-0.0516082040906638,0.5924584884069908,0.6081946649489404,0.5454066929967303
HAR-YZ,sh.510050,ma5_gt_ma20,bear_close_le_ma200,1052,-0.1704910724801428,0.1364261160645656,-1.396294770936601,-0.5372010723039784,-0.2217971209458528,0.0513060484657099,0.129167915008051,0.3972042783419711,-0.06414025787447,0.527112062596382,0.5307202144586562,0.4954506791353943
HAR-YZ,sh.510300,close_gt_ma20,bear_close_le_ma200,974,-0.2076700568734996,0.1514759580401744,-1.503011169687515,-0.5756519292887676,-0.2362439537549139,0.0285738968814143,0.1145330797496814,0.2494816077928244,-0.0696998473683344,0.6328028626540202,0.645712425202694,0.5163416449643943
HAR-YZ,sh.510300,ma5_gt_ma20,bear_close_le_ma200,974,-0.2259043894453124,0.1460388387870965,-1.6838287094558828,-0.6283087633663006,-0.2362439537549139,0.0103395643096014,0.1231269283344171,0.0839748416489271,-0.1071664970375364,0.5833415250757953,0.5903352716377082,0.5382053124444335
